208,"Total Recall","Exploding Head","Paul Verhoven","Carolco Intl.",1990,20020128,20030117,"textfiles/TotalRecall/ExplodingHead_Desc1.txt",,,"","","http://www.columbia.edu/itc/tc/cstudies/imagesequence/","http://kola.cc.columbia.edu:8080/ramgen/itcmedia/tc/culturalstudies/","http://www.columbia.edu/itc/tc/cstudies/imagesequence/","YES","total_5.rm","YES","total_recall_5/total_5_1.jpg","total_recall_5/total_5_",21
3320,"Sopranos","","","",,20021023,20021023,"","","","","","","","http://www.columbia.edu/itc/tc/cstudies/imagesequence/","NO ","http://slate.msn.com//?id=2070873","NO ","","",0
16,"Tetsuo II: Body Hammer","Prosthetic Weaponry","Shinya Tsukamoto","ICA Projects",1997,20010105,20020520,"textfiles/TetsuoIIBodyHammer/ProstheticWeaponry_Desc1.txt",,,,,"http://www.columbia.edu/itc/tc/cstudies/imagesequence/","http://kola.cc.columbia.edu:8080/ramgen/itcmedia/tc/culturalstudies/","http://www.columbia.edu/itc/tc/cstudies/imagesequence/","YES","tetsuo2_2.rm","YES","tetsuo2_2/tetsuo2_2_1.jpg","tetsuo2_2/tetsuo2_2_",16
17,"Terminator II: Judgement Day","Judgement Day","James Cameron","Tri-Star Pictures",1991,20010108,20030117,"textfiles/TerminatorIIJudgementDay/JudgementDay_Desc1.txt",,,"","","http://www.columbia.edu/itc/tc/cstudies/imagesequence/","http://kola.cc.columbia.edu:8080/ramgen/itcmedia/tc/culturalstudies/","http://www.columbia.edu/itc/tc/cstudies/imagesequence/","YES","terminator2_1.rm","YES","terminator_judgement/terminator2_1__13.jpg","terminator_judgement/terminator2_1__",13
18,"Three Kings",,"David O. Russell","Atlas Entertainment / Coast Ridge Films / Village Roadshow Pictures / Village-A.M. Film / Warner Brothers",1999,20010108,20020520,"textfiles/ThreeKings/_Desc1.txt",,,,,"http://www.columbia.edu/itc/tc/cstudies/imagesequence/","http://kola.cc.columbia.edu:8080/ramgen/itcmedia/tc/culturalstudies/","http://www.columbia.edu/itc/tc/cstudies/imagesequence/","YES","3kings_1.rm","YES","3Kings/3kings_1_13.jpg","3Kings/3kings_1_",19
19,"Thelma and Louise","Pulled Over","Ridley Scott","MgM-Pathe / Path&#233; Entertainment / Percy Main",1991,20010109,20030117,"textfiles/ThelmaandLouise/PulledOver_Desc1.txt",,,"","","http://www.columbia.edu/itc/tc/cstudies/imagesequence/","http://kola.cc.columbia.edu:8080/ramgen/itcmedia/tc/culturalstudies/","http://www.columbia.edu/itc/tc/cstudies/imagesequence/","YES","thelma_1.rm","YES","thelma_1/thelma_10.jpg","thelma_1/thelma_",18
20,"Tetsuo II: Body Hammer","War Toys","Shinya Tsukamoto","ICA Projects",1997,20010113,20030117,"textfiles/TetsuoIIBodyHammer/WarToys_Desc1.txt",,,"","","http://www.columbia.edu/itc/tc/cstudies/imagesequence/","http://kola.cc.columbia.edu:8080/ramgen/itcmedia/tc/culturalstudies/","http://www.columbia.edu/itc/tc/cstudies/imagesequence/","YES","tetsuo1_handbodygun.rm","YES","tetsuo_handbody/tetsuo1_handbodygun_8.jpg","tetsuo_handbody/tetsuo1_handbodygun_",12
21,"Birds, The","Mother's Approval","Alfred Hitchcock","Alfred Hitchcock / Universal",1963,20010113,20020520,"textfiles/BirdsThe/MothersApproval_Desc1.txt",,,,,"http://www.columbia.edu/itc/tc/cstudies/imagesequence/","http://kola.cc.columbia.edu:8080/ramgen/itcmedia/tc/culturalstudies/","http://www.columbia.edu/itc/tc/cstudies/imagesequence/","YES","birds_1.rm?title=""The%20Birds""&author=""Alfred%20Hitchcock""&copyright=""1963""","YES","birds_1/birds_1_6.jpg","birds_1/birds_1_",9
209,"Wolf",,"Mike Nichols","Columbia",1994,20020212,20020520,"textfiles/Wolf/_Desc1.txt",,,,,"http://www.columbia.edu/itc/tc/cstudies/imagesequence/","http://kola.cc.columbia.edu:8080/ramgen/itcmedia/tc/culturalstudies/","http://www.columbia.edu/itc/tc/cstudies/imagesequence/","YES","wolf_1.rm","YES","wolf/wolf_1_31.jpg","wolf/wolf_1_",33
2220,"Ani Difranco","Not a Pretty Girl","","",,20020907,20020907,"","","","","","","","http://www.columbia.edu/itc/tc/cstudies/imagesequence/","NO ","http://www.columbia.edu/itc/tc/cstudies/videos/notaprettygirl.avi","NO ","","",0
2240,"Babes in Toyland","Fork Down Throat","","",,20020907,20020907,"","","","","","","","http://www.columbia.edu/itc/tc/cstudies/imagesequence/","NO ","http://www.columbia.edu/itc/tc/cstudies/videos/Forkdownthroat.avi","NO ","","",0
22,"What's Eating Gilbert Grape?","Store In Trouble","Lasse Hallstrom","Paramount",1993,20010113,20020520,"textfiles/WhatsEatingGilbertGrape/StoreInTrouble_Desc1.txt",,,,,"http://www.columbia.edu/itc/tc/cstudies/imagesequence/","http://kola.cc.columbia.edu:8080/ramgen/itcmedia/tc/culturalstudies/","http://www.columbia.edu/itc/tc/cstudies/imagesequence/","YES","ggrape_2.rm?title=""What's%20Eating%20Gilbert%20Grape""&author=""Lasse%20Hallstrom""&copyright=""1993""","YES","gilbert_grape_2/ggrape_2_10.jpg","gilbert_grape_2/ggrape_2_",14
23,"What's Eating Gilbert Grape?","Cheating Heart","Lasse Hallstrom","Paramount",1993,20010113,20020520,"textfiles/WhatsEatingGilbertGrape/CheatingHeart_Desc1.txt",,,,,"http://www.columbia.edu/itc/tc/cstudies/imagesequence/","http://kola.cc.columbia.edu:8080/ramgen/itcmedia/tc/culturalstudies/","http://www.columbia.edu/itc/tc/cstudies/imagesequence/","YES","ggrape_3.rm?title=""What's%20Eating%20Gilbert%20Grape""&author=""Lasse%20Hallstrom""&copyright=""1993""","YES","gilbert_grape_3/ggrape_3_18.jpg","gilbert_grape_3/ggrape_3_",33
24,"Grifters, The","Final Scam","Stephen Frears","Miramax Films",1990,20010113,20020520,"textfiles/GriftersThe/FinalScam_Desc1.txt",,,,,"http://www.columbia.edu/itc/tc/cstudies/imagesequence/","http://kola.cc.columbia.edu:8080/ramgen/itcmedia/tc/culturalstudies/","http://www.columbia.edu/itc/tc/cstudies/imagesequence/","YES","grifters_1.rm?title=""The%20Grifters""&author=""Stephen%20Fears""&copyright=""1990""","YES","grifters_1/grifters_1_12.jpg","grifters_1/grifters_1_",19
25,"Life Is Sweet","Binge and Purge","Mike Leigh","Republic Pictures / Thin Man Films",1990,20010113,20020520,"textfiles/LifeIsSweet/BingeandPurge_Desc1.txt",,,,,"http://www.columbia.edu/itc/tc/cstudies/imagesequence/","http://kola.cc.columbia.edu:8080/ramgen/itcmedia/tc/culturalstudies/","http://www.columbia.edu/itc/tc/cstudies/imagesequence/","YES","sweet_2.rm","YES","sweet_2/sweet_2_16.jpg","sweet_2/sweet_2_",23
26,"Titanic",,"James Cameron","20th Century Fox / Lightstorm Entertainment / Paramount",1997,20010113,20020520,"textfiles/Titanic/_Desc1.txt",,,,,"http://www.columbia.edu/itc/tc/cstudies/imagesequence/","http://kola.cc.columbia.edu:8080/ramgen/itcmedia/tc/culturalstudies/","http://www.columbia.edu/itc/tc/cstudies/imagesequence/","YES","titanic_1.rm","YES","titanic_1/titanic_1_9.jpg","titanic_1/titanic_1_",21
27,"Tootsie",,"Sydney Pollack","Columbia / Mirage / Punch Production",1982,20010113,20020520,"textfiles/Tootsie/_Desc1.txt",,,,,"http://www.columbia.edu/itc/tc/cstudies/imagesequence/","http://kola.cc.columbia.edu:8080/ramgen/itcmedia/tc/culturalstudies/","http://www.columbia.edu/itc/tc/cstudies/imagesequence/","YES","tootsie_1.rm?title=""Tootsie""&author=""Sydney%20Pollack""&copyright=""1982""","YES","tootsie_1/tootsie_1_4.jpg","tootsie_1/tootsie_1_",12
28,"What's Eating Gilbert Grape?","The Grape Family","Lasse Hallstrom","Paramount",1993,20010114,20020520,"textfiles/WhatsEatingGilbertGrape/TheGrapeFamily_Desc1.txt",,,,,"http://www.columbia.edu/itc/tc/cstudies/imagesequence/","http://kola.cc.columbia.edu:8080/ramgen/itcmedia/tc/culturalstudies/","http://www.columbia.edu/itc/tc/cstudies/imagesequence/","YES","ggrape_1.rm?title=""What's%20Eating%20Gilbert%20Grape""author=""Lasse%20Hallstrom""&copyright=""1993""","YES","gilbert_grape_1/ggrape_1_8.jpg","gilbert_grape_1/ggrape_1_",22
3060,"Post Digital","MIT Media Lab","John Maeda, ACG ","Massachusetts Institute of Technology",2002,20020924,20020924,"textfiles/PostDigital/JohnMaeda_Desc1.txt",,,"","","http://www.columbia.edu/itc/tc/cstudies/imagesequence/","","http://www.columbia.edu/itc/tc/cstudies/imagesequence/","NO ","http://www.columbia.edu/itc/tc/cstudies/videos/mit/mit_vol09.rm","YES","mit_image_sequences/vol9/vol09_10.jpg","mit_image_sequences/vol9/vol09_",30
3260,"Octopussy","Inside the Bloody Victim","Ian Fleming","United Artists Corporation",1983,20021016,20030221,"textfiles/InsidetheBloodyVictim/openingcreditsfromOctopussy_Desc1.txt",,,"","","","","http://www.columbia.edu/itc/tc/cstudies/imagesequence/","NO ","","NO ","","",0
29,"Little Odessa","No Scene Name","James Gray","New Line Cinema",1994,20010120,20021213,"textfiles/LittleOdessa/_Desc1.txt",,,"","","http://www.columbia.edu/itc/tc/cstudies/imagesequence/","http://kola.cc.columbia.edu:8080/ramgen/itcmedia/tc/culturalstudies/","http://www.columbia.edu/itc/tc/cstudies/imagesequence/","YES","odessa_1.rm?title=""Little&20Odessa""&copyright=""1994""","YES","little_odessa_1/odessa_1_10.jpg","little_odessa_1/odessa_1_",20
30,"Thelma and Louise","On the Edge","Ridley Scott","MgM-Pathe / Pathé Entertainment / Percy Main",1991,20010120,20020520,"textfiles/ThelmaandLouise/OntheEdge_Desc1.txt",,,,,"http://www.columbia.edu/itc/tc/cstudies/imagesequence/","http://kola.cc.columbia.edu:8080/ramgen/itcmedia/tc/culturalstudies/","http://www.columbia.edu/itc/tc/cstudies/imagesequence/","YES","thelma_2_cliff.rm","YES","thelma_2/thelma_2_cliff_17.jpg","thelma_2/thelma_2_cliff_",22
31,"Thelma and Louise","Explosion","Ridley Scott","MgM-Pathe / Pathé Entertainment / Percy Main",1991,20010120,20020520,"textfiles/ThelmaandLouise/Explosion_Desc1.txt",,,,,"http://www.columbia.edu/itc/tc/cstudies/imagesequence/","http://kola.cc.columbia.edu:8080/ramgen/itcmedia/tc/culturalstudies/","http://www.columbia.edu/itc/tc/cstudies/imagesequence/","YES","thelma_1_truck.rm","YES","thelma_1_truck/thelma_1_truck_13.jpg","thelma_1_truck/thelma_1_truck_",23
33,"Mulan",,"Tony Bancroft and Barry Cook","Buena Vista / Buena Vista",1998,20010120,20020520,"textfiles/Mulan/_Desc1.txt",,,,,"http://www.columbia.edu/itc/tc/cstudies/imagesequence/","http://kola.cc.columbia.edu:8080/ramgen/itcmedia/tc/culturalstudies/","http://www.columbia.edu/itc/tc/cstudies/imagesequence/","YES","mulan_1.rm?title=""Mulan""&author=""Tony%20Bancroft%20and%20Barry%20Cook""&copyright=""1998""","YES","mulan_1/mulan_1_6.jpg","mulan_1/mulan_1_",25
